case_id,prefix,k,next_act
1-669119156,queued accepted accepted accepted,3,completed
1-670754761,accepted accepted,1,queued
1-672506739,accepted accepted,1,queued
1-672506739,accepted accepted queued,2,accepted
1-672506739,accepted accepted queued accepted,3,accepted
1-672506739,accepted accepted queued accepted accepted,4,completed
1-672807011,accepted accepted,1,completed
1-672975080,queued accepted,1,completed
1-675150191,accepted accepted,1,accepted
1-675150191,accepted accepted accepted,2,accepted
1-675150191,accepted accepted accepted accepted,3,accepted
1-675150191,accepted accepted accepted accepted accepted,4,accepted
1-675150191,accepted accepted accepted accepted accepted accepted,5,completed
1-675685459,queued accepted,1,completed
1-678626550,accepted accepted,1,completed
1-681864502,accepted accepted,1,accepted
1-681864502,accepted accepted accepted,2,completed
1-683298971,accepted accepted,1,accepted
1-683298971,accepted accepted accepted,2,completed
1-686557724,accepted accepted,1,accepted
1-686557724,accepted accepted accepted,2,completed
1-686642441,accepted accepted,1,completed
1-686945977,accepted accepted,1,accepted
1-686945977,accepted accepted accepted,2,completed
1-688280019,queued accepted,1,accepted
1-688280019,queued accepted accepted,2,accepted
1-688280019,queued accepted accepted accepted,3,completed
1-688380091,accepted accepted,1,queued
1-688380091,accepted accepted queued,2,accepted
1-688380091,accepted accepted queued accepted,3,accepted
1-688380091,accepted accepted queued accepted accepted,4,accepted
1-688380091,accepted accepted queued accepted accepted accepted,5,accepted
1-688509388,accepted accepted,1,completed
1-688515611,accepted accepted,1,accepted
1-688515611,accepted accepted accepted,2,completed
1-688564824,accepted accepted,1,queued
1-688564824,accepted accepted queued,2,accepted
1-688564824,accepted accepted queued accepted,3,accepted
1-688564824,accepted accepted queued accepted accepted,4,completed
1-689160381,accepted accepted,1,completed
1-689469104,queued queued,1,queued
1-689469104,queued queued queued,2,accepted
1-689469104,queued queued queued accepted,3,completed
1-689525975,accepted accepted,1,completed
1-690327837,accepted completed,1,accepted
1-690327837,accepted completed accepted,2,completed
1-690931471,accepted queued,1,accepted
1-690931471,accepted queued accepted,2,completed
1-691093464,accepted completed,1,accepted
1-691093464,accepted completed accepted,2,queued
1-691786096,accepted queued,1,accepted
1-691786096,accepted queued accepted,2,accepted
1-691786096,accepted queued accepted accepted,3,completed
1-693895885,accepted accepted,1,accepted
1-693895885,accepted accepted accepted,2,completed
1-694222066,accepted queued,1,accepted
1-694222066,accepted queued accepted,2,queued
1-694222066,accepted queued accepted queued,3,accepted
1-694222066,accepted queued accepted queued accepted,4,accepted
1-694222066,accepted queued accepted queued accepted accepted,5,completed
1-694385837,accepted completed,1,accepted
1-694385837,completed accepted,1,accepted
1-694385837,completed accepted accepted,2,completed
1-694385837,completed accepted accepted completed,3,accepted
1-694385837,completed accepted accepted completed accepted,4,completed
1-694794065,accepted accepted,1,accepted
1-694794065,accepted accepted accepted,2,completed
1-694899814,queued accepted,1,completed
1-696680265,accepted queued,1,queued
1-696680265,accepted queued queued,2,accepted
1-696680265,accepted queued queued accepted,3,accepted
1-696680265,accepted queued queued accepted accepted,4,completed
1-696835891,queued accepted,1,completed
1-696839978,accepted accepted,1,completed
1-697041731,accepted accepted,1,completed
1-697041731,accepted accepted completed,2,accepted
1-697041731,accepted accepted completed accepted,3,completed
1-697458590,accepted queued,1,accepted
1-697458590,accepted queued accepted,2,queued
1-697458590,accepted queued accepted queued,3,accepted
1-697458590,accepted queued accepted queued accepted,4,accepted
1-697458590,accepted queued accepted queued accepted accepted,5,accepted
1-697458590,accepted queued accepted queued accepted accepted accepted,6,accepted
1-697458590,accepted queued accepted queued accepted accepted accepted accepted,7,completed
1-698044001,accepted queued,1,accepted
1-698044001,accepted queued accepted,2,accepted
1-698044001,accepted queued accepted accepted,3,completed
1-698346154,accepted accepted,1,completed
1-698842669,accepted accepted,1,completed
1-698842669,accepted accepted completed,2,accepted
1-698842669,accepted accepted completed accepted,3,completed
1-698998499,accepted queued,1,queued
1-698998499,accepted queued queued,2,queued
1-698998499,accepted queued queued queued,3,accepted
1-698998499,accepted queued queued queued accepted,4,accepted
1-698998499,accepted queued queued queued accepted accepted,5,completed
1-699103215,accepted queued,1,accepted
1-699103215,accepted queued accepted,2,queued
1-699103215,accepted queued accepted queued,3,accepted
1-699103215,accepted queued accepted queued accepted,4,queued
1-699103215,accepted queued accepted queued accepted queued,5,accepted
1-699103215,accepted queued accepted queued accepted queued accepted,6,accepted
1-699103215,accepted queued accepted queued accepted queued accepted accepted,7,completed
1-699661601,queued accepted,1,completed
1-700498223,queued accepted,1,queued
1-700498223,queued accepted queued,2,accepted
1-700498223,queued accepted queued accepted,3,queued
1-700498223,queued accepted queued accepted queued,4,accepted
1-700498223,queued accepted queued accepted queued accepted,5,accepted
1-700498223,queued accepted queued accepted queued accepted accepted,6,accepted
1-700498223,queued accepted queued accepted queued accepted accepted accepted,7,completed
1-701429911,accepted accepted,1,accepted
1-701429911,accepted accepted accepted,2,accepted
1-701429911,accepted accepted accepted accepted,3,completed
1-703190797,accepted queued,1,accepted
1-703383433,accepted accepted,1,completed
1-703399394,accepted queued,1,accepted
1-703399394,accepted queued accepted,2,completed
1-703540157,accepted queued,1,queued
1-703540157,accepted queued queued,2,accepted
1-703540157,accepted queued queued accepted,3,queued
1-703540157,accepted queued queued accepted queued,4,queued
1-703540157,accepted queued queued accepted queued queued,5,accepted
1-703540157,accepted queued queued accepted queued queued accepted,6,queued
1-703540157,accepted queued queued accepted queued queued accepted queued,7,accepted
1-703540157,accepted queued queued accepted queued queued accepted queued accepted,8,queued
1-703540157,accepted queued queued accepted queued queued accepted queued accepted queued,9,accepted
1-703540157,accepted queued queued accepted queued queued accepted queued accepted queued accepted,10,accepted
1-703540157,accepted queued queued accepted queued queued accepted queued accepted queued accepted accepted,11,queued
1-703540157,accepted queued queued accepted queued queued accepted queued accepted queued accepted accepted queued,12,accepted
1-703540157,accepted queued queued accepted queued queued accepted queued accepted queued accepted accepted queued accepted,13,completed
1-704650867,accepted queued,1,accepted
1-704650867,accepted queued accepted,2,queued
1-704650867,accepted queued accepted queued,3,accepted
1-704650867,accepted queued accepted queued accepted,4,accepted
1-704650867,accepted queued accepted queued accepted accepted,5,completed
1-704977245,accepted queued,1,queued
1-704977245,accepted queued queued,2,queued
1-707300171,accepted accepted,1,queued
1-707300171,accepted accepted queued,2,queued
1-707300171,accepted accepted queued queued,3,queued
1-707300171,accepted accepted queued queued queued,4,accepted
1-707300171,accepted accepted queued queued queued accepted,5,queued
1-707300171,accepted accepted queued queued queued accepted queued,6,accepted
1-707300171,accepted accepted queued queued queued accepted queued accepted,7,accepted
1-707300171,accepted accepted queued queued queued accepted queued accepted accepted,8,accepted
1-707300171,accepted accepted queued queued queued accepted queued accepted accepted accepted,9,completed
1-707623601,accepted accepted,1,completed
1-709552565,accepted queued,1,accepted
1-709552565,accepted queued accepted,2,queued
1-710114300,accepted queued,1,accepted
1-710114300,accepted queued accepted,2,accepted
1-710114300,accepted queued accepted accepted,3,queued
1-710114300,accepted queued accepted accepted queued,4,accepted
1-710114300,accepted queued accepted accepted queued accepted,5,queued
1-710114300,accepted queued accepted accepted queued accepted queued,6,accepted
1-712856449,accepted queued,1,accepted
1-712856449,accepted queued accepted,2,completed
1-713106267,accepted accepted,1,completed
1-715638561,accepted queued,1,accepted
1-715638561,accepted queued accepted,2,completed
1-716154984,queued accepted,1,completed
1-719199254,accepted accepted,1,completed
1-719199254,accepted accepted completed,2,accepted
1-719199254,accepted accepted completed accepted,3,completed
1-719199254,accepted accepted completed accepted completed,4,accepted
1-719199254,accepted accepted completed accepted completed accepted,5,completed
1-719199254,accepted accepted completed accepted completed accepted completed,6,accepted
1-719199254,accepted accepted completed accepted completed accepted completed accepted,7,completed
1-720069371,accepted accepted,1,accepted
1-720069371,accepted accepted accepted,2,accepted
1-720069371,accepted accepted accepted accepted,3,accepted
1-720069371,accepted accepted accepted accepted accepted,4,accepted
1-720069371,accepted accepted accepted accepted accepted accepted,5,completed
1-722674364,accepted queued,1,queued
1-722674364,accepted queued queued,2,queued
1-722674364,accepted queued queued queued,3,accepted
1-722674364,accepted queued queued queued accepted,4,queued
1-722674364,accepted queued queued queued accepted queued,5,accepted
1-722674364,accepted queued queued queued accepted queued accepted,6,queued
1-722688743,accepted queued,1,accepted
1-722688743,accepted queued accepted,2,completed
1-726517211,accepted accepted,1,queued
1-726517211,accepted accepted queued,2,accepted
1-726517211,accepted accepted queued accepted,3,queued
1-726760342,accepted accepted,1,completed
1-728461114,accepted accepted,1,completed
1-728470722,accepted accepted,1,accepted
1-728470722,accepted accepted accepted,2,accepted
1-728470722,accepted accepted accepted accepted,3,completed
1-728641711,accepted queued,1,accepted
1-728641711,accepted queued accepted,2,completed
1-730084841,queued accepted,1,completed
1-731908702,accepted accepted,1,completed
1-732289301,accepted queued,1,accepted
1-732289301,accepted queued accepted,2,accepted
1-732289301,accepted queued accepted accepted,3,completed
1-732357301,accepted accepted,1,accepted
1-732357301,accepted accepted accepted,2,completed
1-733562890,queued accepted,1,queued
1-733562890,queued accepted queued,2,accepted
1-733562890,queued accepted queued accepted,3,accepted
1-733562890,queued accepted queued accepted accepted,4,accepted
1-733562890,queued accepted queued accepted accepted accepted,5,completed
1-736351127,accepted queued,1,queued
1-736351127,accepted queued queued,2,accepted
1-736351127,accepted queued queued accepted,3,queued
1-736351127,accepted queued queued accepted queued,4,accepted
1-736351127,accepted queued queued accepted queued accepted,5,queued
1-736351127,accepted queued queued accepted queued accepted queued,6,accepted
1-736351127,accepted queued queued accepted queued accepted queued accepted,7,completed
1-736351222,accepted queued,1,queued
1-736351222,accepted queued queued,2,accepted
1-736351222,accepted queued queued accepted,3,queued
1-736351222,accepted queued queued accepted queued,4,accepted
1-736351222,accepted queued queued accepted queued accepted,5,queued
1-736351222,accepted queued queued accepted queued accepted queued,6,accepted
1-736351222,accepted queued queued accepted queued accepted queued accepted,7,completed
1-738300041,accepted accepted,1,queued
1-738300041,accepted accepted queued,2,accepted
1-738300041,accepted accepted queued accepted,3,queued
1-738300041,accepted accepted queued accepted queued,4,accepted
1-738300041,accepted accepted queued accepted queued accepted,5,queued
1-738300041,accepted accepted queued accepted queued accepted queued,6,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted,7,queued
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued,8,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted,9,queued
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued,10,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted,11,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted,12,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted,13,queued
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued,14,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted,15,queued
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted queued,16,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted queued accepted,17,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted queued accepted accepted,18,queued
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted queued accepted accepted queued,19,accepted
1-738300041,accepted accepted queued accepted queued accepted queued accepted queued accepted queued accepted accepted accepted queued accepted queued accepted accepted queued accepted,20,accepted
1-738322892,accepted accepted,1,queued
1-738322892,accepted accepted queued,2,accepted
1-738322892,accepted accepted queued accepted,3,queued
1-738322892,accepted accepted queued accepted queued,4,accepted
1-738322892,accepted accepted queued accepted queued accepted,5,accepted
1-738322892,accepted accepted queued accepted queued accepted accepted,6,queued
1-738501821,accepted queued,1,accepted
1-738501821,accepted queued accepted,2,queued
1-738501821,accepted queued accepted queued,3,accepted
1-738520030,accepted queued,1,accepted
1-738520140,accepted queued,1,accepted
1-738520280,accepted queued,1,accepted
1-738520420,accepted queued,1,accepted
1-738520500,accepted queued,1,accepted
1-738554050,accepted queued,1,accepted
1-738554110,accepted queued,1,accepted
1-738820974,accepted accepted,1,completed
1-739385022,accepted accepted,1,accepted
1-739385022,accepted accepted accepted,2,accepted
1-739385022,accepted accepted accepted accepted,3,accepted
1-739606592,accepted completed,1,accepted
1-739633778,accepted queued,1,accepted
1-739633778,accepted queued accepted,2,queued
1-739633778,accepted queued accepted queued,3,accepted
1-739633778,accepted queued accepted queued accepted,4,accepted
1-739695919,accepted queued,1,queued
1-739695919,accepted queued queued,2,accepted
1-739695919,accepted queued queued accepted,3,accepted
1-739695919,accepted queued queued accepted accepted,4,queued
1-739695919,accepted queued queued accepted accepted queued,5,queued
1-739695919,accepted queued queued accepted accepted queued queued,6,accepted
1-739695919,accepted queued queued accepted accepted queued queued accepted,7,completed
1-739695919,accepted queued queued accepted accepted queued queued accepted completed,8,accepted
1-739695919,accepted queued queued accepted accepted queued queued accepted completed accepted,9,completed
1-740460519,accepted accepted,1,accepted
1-740597491,queued accepted,1,queued
1-740597491,queued accepted queued,2,accepted
1-740597491,queued accepted queued accepted,3,queued
1-740597491,queued accepted queued accepted queued,4,accepted
1-740597491,queued accepted queued accepted queued accepted,5,queued
1-740597491,queued accepted queued accepted queued accepted queued,6,queued
1-740597491,queued accepted queued accepted queued accepted queued queued,7,accepted
1-740597491,queued accepted queued accepted queued accepted queued queued accepted,8,queued
1-740618034,accepted accepted,1,accepted
1-740681141,accepted queued,1,accepted
1-740681141,accepted queued accepted,2,accepted
1-740740981,accepted queued,1,accepted
1-741987554,accepted accepted,1,accepted
1-741987554,accepted accepted accepted,2,accepted
1-741987554,accepted accepted accepted accepted,3,accepted
1-741987554,accepted accepted accepted accepted accepted,4,queued
1-742295367,accepted accepted,1,accepted
1-742295367,accepted accepted accepted,2,accepted
1-742296921,accepted queued,1,accepted
1-742296921,accepted queued accepted,2,completed
1-742383139,accepted accepted,1,accepted
1-742383139,accepted accepted accepted,2,completed
1-742523071,accepted accepted,1,accepted
1-742730173,accepted queued,1,accepted
1-742894028,accepted accepted,1,accepted
1-743091195,accepted accepted,1,accepted
1-743091195,accepted accepted accepted,2,queued
1-743606342,queued accepted,1,queued
1-743606342,queued accepted queued,2,accepted
1-743606342,queued accepted queued accepted,3,queued
1-743606342,queued accepted queued accepted queued,4,accepted
1-743606342,queued accepted queued accepted queued accepted,5,queued
1-743606342,queued accepted queued accepted queued accepted queued,6,accepted
1-743877727,accepted queued,1,accepted
1-744088047,accepted queued,1,accepted
1-745546187,accepted accepted,1,accepted
1-745770713,queued accepted,1,completed
1-745770713,accepted queued,1,accepted
1-745770713,accepted queued accepted,2,queued
1-745770713,accepted queued accepted queued,3,accepted
1-745770713,accepted queued accepted queued accepted,4,accepted
1-745995763,queued accepted,1,accepted
1-746018291,accepted queued,1,accepted
1-746018381,accepted queued,1,accepted
1-746018891,accepted queued,1,queued
1-746018891,accepted queued queued,2,queued
1-746018891,accepted queued queued queued,3,accepted
1-746018891,accepted queued queued queued accepted,4,queued
1-746148741,accepted queued,1,accepted
1-746205481,accepted queued,1,accepted
1-746464884,accepted queued,1,accepted
1-746464884,accepted queued accepted,2,accepted
1-746464884,accepted queued accepted accepted,3,accepted
1-746534906,accepted accepted,1,accepted
1-746538521,queued accepted,1,queued
1-747064611,accepted queued,1,accepted
1-747064611,accepted queued accepted,2,queued
1-747064611,accepted queued accepted queued,3,accepted
1-747090194,accepted accepted,1,accepted
1-747147181,accepted queued,1,accepted
1-747147181,accepted queued accepted,2,accepted
1-747371909,accepted queued,1,accepted
1-747371909,accepted queued accepted,2,queued
1-747371909,accepted queued accepted queued,3,accepted
1-747371909,accepted queued accepted queued accepted,4,queued
1-747371909,accepted queued accepted queued accepted queued,5,accepted
1-747371909,accepted queued accepted queued accepted queued accepted,6,accepted
1-747371909,accepted queued accepted queued accepted queued accepted accepted,7,queued
1-747372912,accepted accepted,1,queued
1-747473781,queued accepted,1,queued
1-747473781,queued accepted queued,2,accepted
1-747473781,queued accepted queued accepted,3,queued
1-747473781,queued accepted queued accepted queued,4,accepted
1-747473781,queued accepted queued accepted queued accepted,5,queued
1-747473781,queued accepted queued accepted queued accepted queued,6,accepted
1-747473781,queued accepted queued accepted queued accepted queued accepted,7,accepted
1-747681195,accepted queued,1,queued
1-747681195,accepted queued queued,2,queued
1-747689792,accepted accepted,1,accepted
1-749119026,accepted queued,1,queued
1-749119026,accepted queued queued,2,accepted
1-749119026,accepted queued queued accepted,3,queued
1-749184751,accepted queued,1,accepted
1-749730150,accepted accepted,1,accepted
1-749730150,accepted accepted accepted,2,accepted
1-749840934,accepted queued,1,accepted
1-749851721,accepted queued,1,accepted
1-749851721,accepted queued accepted,2,queued
1-749851721,accepted queued accepted queued,3,queued
1-749851721,accepted queued accepted queued queued,4,accepted
1-749851721,accepted queued accepted queued queued accepted,5,accepted
1-750007716,accepted queued,1,accepted
1-750007716,accepted queued accepted,2,accepted
1-750090643,accepted queued,1,accepted
1-750090643,accepted queued accepted,2,queued
1-750090643,accepted queued accepted queued,3,accepted
1-750090643,accepted queued accepted queued accepted,4,accepted
1-750106623,accepted queued,1,accepted
1-750106623,accepted queued accepted,2,accepted
1-750106623,accepted queued accepted accepted,3,accepted
1-147898401,accepted accepted,1,accepted
1-147898401,accepted accepted accepted,2,accepted
1-165554831,accepted accepted,1,accepted
1-172473423,accepted accepted,1,accepted
1-182640781,accepted accepted,1,queued
1-182640781,accepted accepted queued,2,accepted
1-182640781,accepted accepted queued accepted,3,accepted
1-182640781,accepted accepted queued accepted accepted,4,accepted
1-182640781,accepted accepted queued accepted accepted accepted,5,completed
1-230541365,accepted accepted,1,accepted
1-230541365,accepted accepted accepted,2,accepted
1-230541365,accepted accepted accepted accepted,3,accepted
1-236817141,accepted accepted,1,queued
1-236817141,accepted accepted queued,2,accepted
1-236817141,accepted accepted queued accepted,3,accepted
1-236817141,accepted accepted queued accepted accepted,4,accepted
1-236817141,accepted accepted queued accepted accepted accepted,5,completed
1-270427461,accepted accepted,1,accepted
1-345132462,accepted accepted,1,accepted
1-345132462,accepted accepted accepted,2,accepted
1-345132462,accepted accepted accepted accepted,3,accepted
1-351314317,accepted queued,1,accepted
1-351314317,accepted queued accepted,2,accepted
1-351314317,accepted queued accepted accepted,3,accepted
1-351314317,accepted queued accepted accepted accepted,4,completed
1-359841262,accepted accepted,1,queued
1-359841262,accepted accepted queued,2,accepted
1-359841262,accepted accepted queued accepted,3,queued
1-359841262,accepted accepted queued accepted queued,4,accepted
1-359841262,accepted accepted queued accepted queued accepted,5,accepted
1-359841262,accepted accepted queued accepted queued accepted accepted,6,accepted
1-360072755,queued accepted,1,accepted
1-360072755,queued accepted accepted,2,accepted
1-360464815,accepted accepted,1,accepted
1-360464815,accepted accepted accepted,2,completed
1-363206822,accepted accepted,1,queued
1-363206822,accepted accepted queued,2,accepted
1-367921041,queued accepted,1,accepted
1-367921041,queued accepted accepted,2,accepted
1-367921041,queued accepted accepted accepted,3,accepted
1-367921041,queued accepted accepted accepted accepted,4,accepted
1-367921041,queued accepted accepted accepted accepted accepted,5,accepted
1-367921041,queued accepted accepted accepted accepted accepted accepted,6,completed
1-370436092,accepted queued,1,accepted
1-370436092,accepted queued accepted,2,accepted
1-372029512,accepted accepted,1,completed
1-374832944,accepted accepted,1,completed
1-375644051,accepted accepted,1,accepted
1-375644051,accepted accepted accepted,2,queued
1-378050311,accepted accepted,1,accepted
1-378050311,accepted accepted accepted,2,accepted
1-378050311,accepted accepted accepted accepted,3,queued
1-378050311,accepted accepted accepted accepted queued,4,accepted
1-378050311,accepted accepted accepted accepted queued accepted,5,completed
1-378744625,accepted accepted,1,completed
